	vol		
country	0	1	Total
	p50	p50	p50
Austria	0.000	0.000	0.000
Germany	0.000	0.000	0.000
Sweden	0.000	0.000	0.000
Spain	0.000	0.000	0.000
Italy	0.000	0.000	0.000
France	0.000	0.000	0.000
Denmark	0.000	0.000	0.000
Greece	0.000	0.000	0.000
Switzerland	0.000	0.000	0.000
Belgium	0.000	0.000	0.000
Israel	0.000	0.000	0.000
Czech Republic	0.000	0.000	0.000
Poland	0.000	0.000	0.000
Luxembourg	0.000	0.000	0.000
Portugal	0.000	0.000	0.000
Slovenia	0.000	0.000	0.000
Estonia	0.000	0.000	0.000
Croatia	0.000	0.000	0.000
Total	0.000	0.000	0.000

